@relation 'dec'
@attribute attr0 {0,1}
@attribute attr1 {0,1}
@attribute attr2 {0,1}
@attribute attr3 {0,1}
@attribute attr4 {0,1}
@attribute attr5 {0,1}
@attribute class {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63}
@data
1,	0,	0,	1,	0,	0,	36
1,	0,	1,	0,	0,	1,	41
1,	1,	0,	0,	1,	1,	51
1,	1,	1,	0,	1,	0,	58
1,	0,	0,	1,	1,	1,	39
1,	0,	1,	0,	1,	1,	43
0,	0,	0,	1,	1,	0,	6
0,	1,	1,	0,	0,	0,	24
0,	1,	0,	0,	1,	0,	18
1,	0,	1,	1,	0,	0,	44
1,	0,	1,	1,	1,	1,	47
1,	0,	0,	1,	0,	1,	37
0,	0,	1,	1,	0,	1,	13
1,	1,	1,	0,	0,	1,	57
1,	1,	1,	1,	0,	1,	61
1,	0,	1,	1,	1,	0,	46
1,	0,	0,	0,	0,	1,	33
0,	1,	1,	0,	1,	1,	27
0,	1,	1,	0,	1,	0,	26
0,	0,	1,	0,	0,	0,	8
0,	0,	1,	1,	0,	0,	12
1,	1,	1,	0,	1,	1,	59
0,	1,	0,	0,	0,	1,	17
0,	0,	1,	1,	1,	0,	14
0,	1,	1,	1,	1,	1,	31
1,	1,	0,	1,	1,	1,	55
1,	1,	0,	0,	0,	0,	48
1,	0,	0,	0,	0,	0,	32
1,	1,	0,	1,	1,	0,	54
1,	0,	0,	0,	1,	1,	35
1,	0,	1,	0,	0,	0,	40
0,	1,	0,	0,	0,	0,	16
1,	1,	1,	1,	1,	0,	62
0,	1,	0,	1,	1,	1,	23
1,	1,	0,	1,	0,	0,	52
0,	1,	1,	1,	0,	1,	29
0,	1,	0,	0,	1,	1,	19
1,	1,	0,	0,	0,	1,	49
0,	1,	1,	1,	1,	0,	30
0,	0,	0,	1,	0,	0,	4
0,	0,	0,	1,	1,	1,	7
0,	0,	0,	0,	0,	0,	0
1,	1,	0,	0,	1,	0,	50
1,	1,	1,	0,	0,	0,	56
1,	1,	1,	1,	0,	0,	60
0,	1,	0,	1,	0,	1,	21
1,	0,	1,	1,	0,	1,	45
0,	0,	0,	0,	1,	1,	3
0,	1,	0,	1,	0,	0,	20
0,	1,	1,	1,	0,	0,	28
1,	1,	1,	1,	1,	1,	63
1,	0,	0,	0,	1,	0,	34
0,	1,	1,	0,	0,	1,	25
1,	0,	0,	1,	1,	0,	38
0,	0,	1,	0,	1,	0,	10
0,	0,	0,	1,	0,	1,	5
0,	0,	1,	1,	1,	1,	15
0,	0,	0,	0,	1,	0,	2
0,	1,	0,	1,	1,	0,	22
0,	0,	1,	0,	1,	1,	11
1,	0,	1,	0,	1,	0,	42
0,	0,	0,	0,	0,	1,	1
1,	1,	0,	1,	0,	1,	53
0,	0,	1,	0,	0,	1,	9
