@relation 'dec'
@attribute attr0 {0,1}
@attribute attr1 {0,1}
@attribute attr2 {0,1}
@attribute attr3 {0,1}
@attribute attr4 {0,1}
@attribute attr5 {0,1}
@attribute attr6 {0,1}
@attribute class {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 124, 125, 126, 127}
@data
0,	0,	0,	0,	0,	1,	1,	3
0,	0,	1,	1,	0,	0,	1,	25
0,	1,	1,	1,	0,	0,	1,	57
0,	0,	1,	0,	0,	1,	1,	19
0,	0,	0,	1,	0,	1,	1,	11
0,	1,	1,	1,	0,	1,	1,	59
1,	1,	0,	1,	1,	0,	0,	108
0,	1,	0,	0,	1,	0,	0,	36
0,	1,	1,	0,	0,	0,	1,	49
1,	0,	1,	1,	1,	1,	0,	94
1,	1,	1,	0,	0,	0,	1,	113
0,	1,	1,	0,	0,	1,	0,	50
1,	0,	0,	1,	0,	1,	1,	75
0,	0,	1,	0,	0,	1,	0,	18
0,	0,	1,	0,	0,	0,	1,	17
1,	0,	1,	0,	0,	1,	0,	82
1,	1,	1,	0,	0,	0,	0,	112
1,	0,	0,	1,	0,	0,	0,	72
0,	0,	1,	1,	1,	0,	0,	28
1,	1,	0,	0,	1,	0,	0,	100
1,	0,	1,	1,	0,	0,	1,	89
0,	0,	0,	1,	0,	0,	0,	8
0,	1,	0,	1,	1,	0,	0,	44
0,	1,	0,	1,	1,	1,	0,	46
1,	0,	1,	1,	0,	0,	0,	88
0,	0,	1,	0,	1,	1,	0,	22
1,	1,	1,	1,	0,	1,	0,	122
1,	0,	0,	1,	0,	1,	0,	74
1,	0,	1,	1,	0,	1,	0,	90
1,	0,	0,	1,	1,	1,	1,	79
1,	1,	1,	1,	1,	1,	0,	126
0,	0,	1,	1,	1,	1,	0,	30
0,	0,	0,	1,	0,	0,	1,	9
0,	0,	1,	1,	0,	1,	1,	27
1,	0,	0,	0,	0,	1,	1,	67
1,	0,	0,	0,	1,	1,	1,	71
1,	0,	1,	1,	0,	1,	1,	91
0,	1,	0,	0,	1,	0,	1,	37
0,	1,	1,	1,	1,	1,	0,	62
1,	1,	0,	1,	0,	1,	0,	106
1,	1,	1,	0,	1,	0,	0,	116
1,	1,	1,	0,	1,	1,	0,	118
0,	1,	0,	1,	0,	1,	0,	42
1,	1,	0,	1,	1,	1,	0,	110
1,	1,	0,	0,	0,	1,	1,	99
1,	1,	0,	0,	0,	1,	0,	98
0,	1,	0,	0,	0,	1,	0,	34
0,	0,	0,	1,	1,	1,	1,	15
1,	0,	0,	1,	1,	0,	0,	76
1,	1,	1,	0,	0,	1,	1,	115
1,	0,	0,	0,	1,	1,	0,	70
0,	1,	1,	1,	0,	0,	0,	56
0,	0,	1,	1,	0,	1,	0,	26
1,	1,	0,	0,	1,	0,	1,	101
1,	0,	0,	1,	1,	0,	1,	77
0,	0,	0,	1,	0,	1,	0,	10
0,	0,	1,	1,	0,	0,	0,	24
0,	1,	1,	0,	1,	1,	1,	55
1,	1,	0,	0,	0,	0,	1,	97
0,	0,	0,	0,	1,	1,	1,	7
0,	0,	1,	1,	1,	0,	1,	29
0,	1,	1,	0,	0,	1,	1,	51
1,	0,	0,	1,	1,	1,	0,	78
1,	1,	1,	1,	0,	0,	1,	121
1,	0,	1,	1,	1,	0,	1,	93
0,	1,	0,	0,	0,	0,	1,	33
1,	1,	1,	0,	1,	1,	1,	119
1,	0,	0,	0,	0,	1,	0,	66
1,	0,	1,	0,	1,	0,	0,	84
1,	1,	0,	1,	1,	1,	1,	111
0,	1,	0,	0,	1,	1,	1,	39
1,	0,	1,	1,	1,	0,	0,	92
0,	1,	0,	0,	0,	1,	1,	35
0,	0,	1,	0,	0,	0,	0,	16
1,	1,	1,	1,	0,	0,	0,	120
1,	0,	0,	1,	0,	0,	1,	73
0,	0,	0,	1,	1,	1,	0,	14
1,	1,	1,	0,	0,	1,	0,	114
0,	0,	0,	1,	1,	0,	0,	12
1,	1,	0,	0,	1,	1,	0,	102
1,	0,	0,	0,	1,	0,	0,	68
0,	0,	1,	0,	1,	1,	1,	23
0,	0,	1,	1,	1,	1,	1,	31
1,	0,	0,	0,	1,	0,	1,	69
1,	0,	0,	0,	0,	0,	0,	64
1,	0,	1,	0,	0,	0,	1,	81
1,	1,	1,	1,	0,	1,	1,	123
1,	1,	0,	1,	1,	0,	1,	109
1,	1,	0,	1,	0,	0,	0,	104
0,	0,	1,	0,	1,	0,	1,	21
1,	1,	1,	1,	1,	0,	0,	124
1,	1,	1,	1,	1,	0,	1,	125
1,	1,	0,	1,	0,	0,	1,	105
0,	1,	0,	1,	0,	0,	1,	41
0,	1,	1,	0,	0,	0,	0,	48
0,	1,	1,	1,	1,	0,	0,	60
0,	0,	0,	0,	0,	0,	1,	1
1,	1,	0,	0,	1,	1,	1,	103
0,	1,	0,	0,	0,	0,	0,	32
0,	0,	1,	0,	1,	0,	0,	20
0,	1,	1,	0,	1,	1,	0,	54
1,	1,	1,	1,	1,	1,	1,	127
0,	0,	0,	0,	1,	0,	0,	4
1,	0,	1,	0,	1,	0,	1,	85
0,	0,	0,	0,	0,	1,	0,	2
0,	1,	1,	1,	1,	0,	1,	61
0,	1,	1,	1,	0,	1,	0,	58
0,	1,	0,	1,	0,	1,	1,	43
0,	1,	0,	1,	1,	1,	1,	47
0,	0,	0,	1,	1,	0,	1,	13
0,	1,	0,	0,	1,	1,	0,	38
0,	0,	0,	0,	1,	1,	0,	6
1,	1,	0,	0,	0,	0,	0,	96
