@relation Glass-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.MathExpression-EA*100

@attribute RI numeric
@attribute Na numeric
@attribute Mg numeric
@attribute Al numeric
@attribute Si numeric
@attribute K numeric
@attribute Ca numeric
@attribute Ba numeric
@attribute Fe numeric
@attribute Type {'build wind float','build wind non-float','vehic wind float','vehic wind non-float',containers,tableware,headlamps}

@data
29.76295,30.977444,77.951002,25.856698,57.5,10.305958,31.040892,0,0,'build wind float'
23.178227,21.503759,78.396437,33.021807,55,9.178744,28.810409,0,0,'vehic wind float'
29.76295,37.293233,77.505568,34.890966,50.535714,9.500805,27.881041,0,0,'build wind float'
8.077261,55.18797,38.752784,38.94081,84.642857,0,20.074349,0,0,tableware
100,23.609023,0,22.11838,6.25,1.932367,100,0,47.058824,'build wind non-float'
23.705004,30.37594,63.474388,35.825545,61.785714,9.178744,31.226766,3.492063,43.137255,'build wind non-float'
29.148376,43.759398,81.291759,11.214953,56.964286,0.966184,32.527881,0,0,'vehic wind float'
31.694469,36.240602,63.25167,30.841121,54.285714,8.856683,33.828996,0,0,'build wind float'
18.876207,51.278195,0,74.454829,63.928571,1.288245,33.828996,19.365079,9.803922,headlamps
29.587357,36.992481,86.859688,31.464174,45,8.856683,27.973978,0,54.901961,'build wind non-float'
22.38806,39.548872,79.732739,37.383178,51.964286,7.246377,25.836431,0,0,'build wind non-float'
27.568042,22.105263,72.383073,27.102804,66.785714,9.983897,32.249071,0,47.058824,'build wind non-float'
48.639157,37.293233,83.964365,15.576324,38.928571,2.093398,42.657993,0,0,'build wind float'
44.161545,49.62406,83.741648,9.034268,35.357143,1.771337,39.219331,0,0,'vehic wind float'
24.143986,36.240602,76.837416,45.794393,47.678571,9.661836,27.416357,0,33.333333,'vehic wind float'
25.987709,41.353383,77.505568,44.23676,48.392857,9.983897,23.791822,0,0,'build wind non-float'
26.514486,60.451128,0,53.271028,57.321429,0,28.810409,50.47619,15.686275,headlamps
22.563652,29.774436,74.164811,37.383178,61.964286,10.78905,26.115242,0,0,'build wind non-float'
38.586479,38.195489,0,45.794393,57.5,7.568438,54.739777,0,0,containers
30.553117,33.533835,65.924276,35.514019,55.535714,9.661836,31.226766,4.444444,0,'build wind non-float'
45.522388,34.887218,81.291759,18.068536,43.035714,3.059581,41.078067,0,33.333333,'build wind float'
59.701493,10.827068,0,49.53271,42.5,13.043478,72.583643,0,66.666667,'build wind non-float'
31.870061,33.082707,83.296214,25.545171,44.107143,10.305958,32.806691,0,43.137255,'build wind non-float'
28.050922,40,81.514477,28.037383,53.214286,9.178744,26.394052,0,21.568627,'build wind float'
41.395961,31.879699,35.857461,58.566978,42.321429,12.238325,39.684015,7.619048,100,containers
19.929763,37.744361,77.728285,36.760125,61.428571,6.119163,24.163569,0,0,'build wind non-float'
20.851624,31.428571,78.396437,50.155763,54.464286,11.111111,23.605948,0,0,'build wind non-float'
24.934153,57.593985,0,52.647975,62.142857,0,28.717472,49.84127,13.72549,headlamps
25.109745,37.593985,78.841871,37.071651,54.107143,9.017713,24.814126,0,0,'build wind non-float'
21.729587,39.097744,78.619154,32.71028,51.071429,9.017713,26.951673,0,0,'vehic wind float'
24.539069,32.180451,79.287305,42.056075,59.464286,10.466989,23.791822,0,0,'build wind non-float'
31.474978,39.097744,74.387528,38.94081,41.607143,9.017713,33.085502,0,0,'vehic wind float'
0,100,0,1.557632,100,0,11.33829,0,0,tableware
23.266023,40.75188,80.400891,38.94081,46.071429,10.628019,24.163569,0,0,'build wind non-float'
28.09482,34.135338,80.178174,33.333333,56.785714,9.178744,27.60223,0,21.568627,'build wind float'
20.017559,29.924812,77.060134,39.563863,60.535714,10.78905,24.72119,0,47.058824,'build wind float'
21.115013,30.977444,80.400891,41.433022,56.428571,10.305958,24.535316,0,50.980392,'build wind float'
26.997366,24.360902,60.579065,41.744548,54.642857,11.272142,35.315985,0,0,'build wind non-float'
24.012291,31.879699,78.173719,35.825545,57.142857,10.950081,26.022305,1.904762,49.019608,'build wind non-float'
12.906058,52.932331,68.819599,55.76324,44.107143,17.713366,15.334572,0,0,'build wind non-float'
