@relation vowel-weka.filters.unsupervised.attribute.Remove-R1-2-weka.filters.unsupervised.attribute.MathExpression-E(A-MIN)*1000/(MAX-MIN)

@attribute Sex {Male,Female}
@attribute 'Feature 0' numeric
@attribute 'Feature 1' numeric
@attribute 'Feature 2' numeric
@attribute 'Feature 3' numeric
@attribute 'Feature 4' numeric
@attribute 'Feature 5' numeric
@attribute 'Feature 6' numeric
@attribute 'Feature 7' numeric
@attribute 'Feature 8' numeric
@attribute 'Feature 9' numeric
@attribute Class {hid,hId,hEd,hAd,hYd,had,hOd,hod,hUd,hud,hed}

@data
Male,368.149883,266.540643,463.757019,842.049657,494.946943,778.691116,390.816327,546.818727,252.908966,281.53446,hid
Male,441.217799,278.827977,457.631445,732.699419,470.439616,875.434714,399.319728,541.116447,339.493498,387.516255,hId
Male,723.887588,341.52489,232.51659,410.98785,358.767054,757.192539,325.85034,590.936375,275.154004,530.23407,hEd
Male,684.777518,485.664776,252.424706,639.461173,271.349166,599.43092,329.931973,458.583433,520.876112,287.711313,hAd
Male,611.943794,505.986137,418.836141,652.667723,124.81051,505.848878,656.802721,343.037215,646.817248,417.425228,hYd
Male,552.459016,502.205419,442.062277,590.068674,136.179889,534.619033,596.598639,314.22569,633.470226,427.503251,had
Male,404.918033,598.298677,524.247065,648.969889,33.350177,549.478343,632.312925,523.109244,681.040383,427.178153,hOd
Male,297.423888,563.799622,666.411434,839.936609,78.827691,451.786279,374.829932,685.77431,748.80219,448.309493,hod
Male,316.393443,534.026465,395.099541,553.882726,366.851945,795.131205,348.639456,666.566627,494.86653,405.071521,hUd
Male,366.042155,486.137366,283.052578,788.959324,553.815058,762.883339,364.285714,598.739496,572.553046,274.382315,hud
Male,510.30445,474.637681,343.542624,566.825145,326.680141,702.497629,327.210884,591.836735,545.859001,278.608583,hed
Male,364.871194,259.451796,481.623277,822.503962,481.303689,822.320582,402.721088,549.219688,279.26078,281.859558,hid
Male,462.295082,269.376181,415.262889,732.171157,473.976756,869.743914,388.435374,613.445378,287.132101,439.856957,hId
Male,720.374707,350.976686,218.223583,404.120444,359.525013,770.154916,309.183673,602.040816,242.984257,537.386216,hEd
Male,680.796253,481.726528,250.382848,631.273111,294.593229,519.127411,422.789116,387.454982,592.744695,299.089727,hAd
Male,625.526932,538.437303,373.404798,618.594823,141.485599,588.04932,586.734694,373.94958,657.768652,340.377113,hYd
Male,558.548009,516.225583,446.401225,583.72953,115.715008,561.176099,606.122449,310.92437,639.63039,397.269181,had
Male,381.498829,574.669187,543.389484,679.080824,43.961597,460.638634,638.095238,494.597839,694.045175,461.963589,hOd
Male,295.081967,555.135476,667.177131,840.20074,55.836281,443.566235,375.85034,701.680672,756.673511,450.910273,hod
Male,334.42623,511.657215,328.48392,532.223983,373.168267,739.803984,477.210884,546.518607,686.173854,357.607282,hUd
Male,360.187354,485.979836,276.161307,800.316957,548.509348,761.302561,368.707483,611.644658,529.431896,307.86736,hud
Male,530.444965,460.459987,336.906585,580.295827,307.731177,675.308252,331.632653,658.763505,528.062971,272.43173,hed
Male,362.06089,253.780718,471.158754,845.219229,488.377969,797.344293,400.680272,559.123649,320.670773,272.756827,hid
Male,479.156909,264.965343,386.932108,690.966719,462.102072,871.640847,449.659864,605.042017,383.641342,407.997399,hId
Male,727.400468,363.73661,199.591628,433.174855,396.412329,755.611761,302.040816,601.140456,259.411362,497.074122,hEd
Male,678.922717,475.740391,249.361919,641.31009,287.266296,561.80841,356.802721,450.480192,563.312799,270.806242,hAd
Male,603.278689,538.909893,346.605411,612.783941,181.910056,610.496364,498.639456,423.469388,599.589322,323.472042,hYd
Male,544.262295,536.389414,422.919857,552.29794,144.012127,522.921277,675.170068,273.409364,622.861054,415.474642,had
Male,369.086651,555.135476,534.201123,639.461173,109.651339,301.296238,748.979592,472.388956,669.404517,545.188557,hOd
Male,286.885246,566.950221,660.796325,803.486529,28.549773,446.411635,405.782313,689.07563,745.722108,466.514954,hod
Male,351.053864,486.767486,335.885656,543.053354,343.607883,801.13816,404.761905,664.165666,606.433949,429.453836,hUd
Male,344.496487,489.287965,281.521184,791.336503,549.772612,783.433449,347.278912,600.240096,494.182067,376.462939,hud
Male,550.819672,456.994329,343.797856,575.277338,297.877716,703.762251,315.986395,674.969988,482.20397,309.817945,hed
Male,371.662763,248.739761,454.058193,836.502905,488.377969,793.866582,429.931973,556.422569,354.551677,272.106632,hid
Male,503.278689,255.986137,361.408882,652.403592,447.700859,893.45558,451.360544,626.95078,429.500342,448.959688,hId
