100th repetition:

Population size: 716
Timestamp: 89575
Number of classifiers in population covered :0
Number of classifiers in population ga-ed :716
Covers occured: 25
Number of subsumptions: 1270

#######=>####### total macro fit: 4.5328 fit: 0.3487 num: 13 exp: 10743 cov: 100% of dataset tp: 67680.9 msa: 75201 ns: 1 origin: ga  created: 14370  last in correctset: 0  subsumptions: 16 
0#####1=>0#####1 total macro fit: 4.2894 fit: 0.4766 num: 9 exp: 836 cov: 25% of dataset tp: 5434 msa: 5852 ns: 50.354 origin: ga  created: 66091  last in correctset: 89555  subsumptions: 68 
#0##0##=>#0##0## total macro fit: 3.8128 fit: 0.4766 num: 8 exp: 570 cov: 25% of dataset tp: 3705 msa: 3990 ns: 50.6906 origin: ga  created: 73529  last in correctset: 89458  subsumptions: 21 
1#####1=>1#####1 total macro fit: 3.3362 fit: 0.4766 num: 7 exp: 1800 cov: 25% of dataset tp: 11700 msa: 12600 ns: 47.5745 origin: ga  created: 39204  last in correctset: 89506  subsumptions: 136 
##1##1#=>##1##1# total macro fit: 2.8596 fit: 0.4766 num: 6 exp: 242 cov: 25% of dataset tp: 1573 msa: 1694 ns: 40.8152 origin: ga  created: 82914  last in correctset: 89466  subsumptions: 10 
##1####=>####### total macro fit: 2.7894 fit: 0.3487 num: 8 exp: 4700 cov: 50% of dataset tp: 29610 msa: 32900 ns: 1 origin: ga  created: 23799  last in correctset: 0  subsumptions: 7 
1######=>1###### total macro fit: 2.4489 fit: 0.4081 num: 6 exp: 619 cov: 50% of dataset tp: 3961.6 msa: 4333 ns: 75.2155 origin: ga  created: 80903  last in correctset: 89541  subsumptions: 19 
#0#####=>####### total macro fit: 2.4407 fit: 0.3487 num: 7 exp: 4551 cov: 50% of dataset tp: 28671.3 msa: 31857 ns: 1 origin: ga  created: 25814  last in correctset: 0  subsumptions: 7 
1######=>####### total macro fit: 2.4407 fit: 0.3487 num: 7 exp: 3787 cov: 50% of dataset tp: 23858.1 msa: 26509 ns: 1 origin: ga  created: 36546  last in correctset: 0  subsumptions: 8 
#1#####=>####### total macro fit: 2.0921 fit: 0.3487 num: 6 exp: 3598 cov: 50% of dataset tp: 22667.4 msa: 25186 ns: 1 origin: ga  created: 39232  last in correctset: 0  subsumptions: 8 
#0#####=>#0##### total macro fit: 2.0407 fit: 0.4081 num: 5 exp: 4364 cov: 50% of dataset tp: 27929.6 msa: 30548 ns: 81.7245 origin: ga  created: 28439  last in correctset: 89458  subsumptions: 148 
